FUN_MATRICULA,FUN_NOME,FUN_SALARIO,FUN_SETOR,FUN_CARGO
453-73-3462,Eartha Bothie,$3745.93,OPERACAO,ASSISTENTE
156-05-1745,Garv Wesgate,$3527.10,MARKETING,ANALISTA
613-29-0204,Stewart Baish,$3358.04,COMERCIAL,OPERADOR DE MAQUINAS
543-38-5444,Franni Jatczak,$2771.45,PROJETOS,ESTAGIARIO
770-45-9647,Alfy Thibodeaux,$2647.81,ESTOQUE,OPERADOR DE MAQUINAS
367-79-5332,Bliss Tirone,$3858.12,FINANCEIRO,ANALISTA
436-83-1140,Thekla Marl,$3604.42,MARKETING,ANALISTA
556-96-6710,Isidora Paulsen,$1874.42,FINANCEIRO,ASSISTENTE
129-20-2679,Mitchell Hartshorne,$1729.72,MARKETING,ANALISTA
731-13-2762,Jessika Roantree,$2022.22,ESTOQUE,ASSISTENTE
421-30-9854,Lucio Manby,$1697.60,OPERACAO,OPERADOR DE MAQUINAS
400-67-3343,Philbert Dybell,$1793.95,OPERACAO,ASSISTENTE
788-51-2151,Vanda Hanna,$3788.98,ESTOQUE,TECNICO
552-27-0700,Benn Geddis,$3518.80,ESTOQUE,ESTAGIARIO
799-27-2515,Even Craister,$2099.84,OPERACAO,ASSISTENTE
644-96-8154,Erskine Jillitt,$3948.25,MARKETING,ASSISTENTE
115-17-1321,Nissie Newiss,$1006.52,PROJETOS,ANALISTA
486-59-2828,Barbi Pettigree,$3338.72,COMERCIAL,ANALISTA
281-91-5712,Rees Le Prevost,$2478.98,COMERCIAL,ESTAGIARIO
214-50-1545,Franni Gussin,$3530.85,ESTOQUE,ASSISTENTE
197-76-1916,Ernesto Arr,$3840.43,ESTOQUE,OPERADOR DE MAQUINAS
723-04-3508,Hazlett Shyres,$2231.85,OPERACAO,TECNICO
306-70-9658,Dulci Tombs,$3038.64,ESTOQUE,TECNICO
762-24-4089,Dorelle Lisle,$1711.70,ESTOQUE,TECNICO
100-85-9196,Abagael Bachman,$2147.50,FINANCEIRO,ESTAGIARIO
269-62-6900,Chip Boome,$1578.17,OPERACAO,ANALISTA
703-32-1030,Cobbie Burniston,$1237.34,ESTOQUE,ESTAGIARIO
668-08-6042,Bentlee Shillaker,$1586.26,FINANCEIRO,ASSISTENTE
125-33-6785,Osborn Wittier,$3440.23,FINANCEIRO,OPERADOR DE MAQUINAS
590-07-5580,Tracie Wearn,$1250.33,PROJETOS,ESTAGIARIO
583-24-9997,Sharyl O'Riordan,$3085.25,FINANCEIRO,TECNICO
539-37-5551,Dennet Dupree,$2083.40,PROJETOS,ANALISTA
700-76-1182,Monica Gales,$3384.87,COMERCIAL,ANALISTA
